Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(Â°C),Relative humidity(%),Atmospheric pressure(hPa)
20/10/2022 20:21:24,"1459","22.5","63","1015"
20/10/2022 20:23:24,"507","22.7","40","1014"
20/10/2022 20:25:24,"483","20.7","45","1015"
20/10/2022 20:27:23,"1073","20.8","54","1014"
20/10/2022 20:29:23,"1150","21.3","54","1015"
20/10/2022 20:31:23,"1088","21.7","53","1014"
20/10/2022 20:33:23,"1057","22.1","52","1014"
20/10/2022 20:35:23,"1019","22.3","52","1014"
20/10/2022 20:37:23,"969","22.5","51","1014"
20/10/2022 20:39:23,"943","22.6","51","1014"
20/10/2022 20:41:23,"878","22.6","50","1014"
20/10/2022 20:43:24,"886","22.7","50","1014"
20/10/2022 20:45:24,"848","22.7","50","1014"
20/10/2022 20:47:24,"813","22.7","49","1014"
20/10/2022 20:49:24,"764","22.7","49","1014"
20/10/2022 20:51:24,"708","22.7","48","1014"
20/10/2022 20:53:24,"676","22.7","48","1014"
20/10/2022 20:55:24,"655","22.7","47","1014"
20/10/2022 20:57:24,"630","22.6","47","1014"
20/10/2022 20:59:24,"629","22.6","47","1014"
20/10/2022 21:01:24,"625","22.6","47","1014"
20/10/2022 21:03:24,"631","22.6","47","1014"
20/10/2022 21:05:24,"635","22.6","47","1014"
20/10/2022 21:07:24,"609","22.6","47","1014"
20/10/2022 21:09:24,"607","22.5","47","1014"
20/10/2022 21:11:24,"590","22.6","47","1014"
20/10/2022 21:13:24,"572","22.5","47","1014"
20/10/2022 21:15:24,"593","22.5","47","1014"
20/10/2022 21:17:24,"582","22.5","46","1014"
20/10/2022 21:19:24,"579","22.4","46","1014"
20/10/2022 21:19:26,"","22.4","46","1014"
20/10/2022 21:21:24,"584","22.4","46","1014"
20/10/2022 21:23:24,"590","22.4","46","1014"
20/10/2022 21:25:24,"582","22.4","46","1014"
20/10/2022 21:27:24,"572","22.4","46","1014"
20/10/2022 21:29:24,"576","22.3","46","1014"
20/10/2022 21:29:25,"576","22.3","46","1014"
20/10/2022 21:31:24,"591","22.3","46","1014"
20/10/2022 21:33:24,"578","22.3","46","1014"
20/10/2022 21:35:24,"591","22.3","46","1014"
20/10/2022 21:37:24,"576","22.2","46","1014"
20/10/2022 21:39:24,"562","22.2","46","1013"
20/10/2022 21:39:26,"562","22.2","46","1013"
20/10/2022 21:41:24,"562","22.1","46","1014"
20/10/2022 21:43:24,"558","22.1","46","1014"
20/10/2022 21:45:24,"562","22.1","46","1014"
20/10/2022 21:47:24,"572","22.1","46","1014"
20/10/2022 21:49:24,"557","22.0","46","1014"
20/10/2022 21:49:25,"557","22.0","46","1014"
20/10/2022 21:51:24,"584","21.9","47","1014"
20/10/2022 21:53:24,"591","21.9","48","1014"
20/10/2022 21:55:24,"584","21.9","47","1014"
20/10/2022 21:57:24,"585","21.8","47","1015"
20/10/2022 21:59:24,"581","21.8","47","1015"
20/10/2022 21:59:26,"581","21.8","47","1015"
20/10/2022 22:01:24,"583","21.8","47","1015"
20/10/2022 22:03:24,"570","21.8","47","1015"
20/10/2022 22:05:24,"583","21.8","47","1015"
20/10/2022 22:07:24,"624","21.7","46","1015"
20/10/2022 22:09:24,"585","21.7","46","1015"
20/10/2022 22:09:26,"585","21.7","46","1015"
20/10/2022 22:11:24,"577","21.7","47","1014"
20/10/2022 22:13:24,"588","21.7","47","1014"
20/10/2022 22:15:24,"577","21.7","47","1014"
20/10/2022 22:17:24,"581","21.7","47","1014"
20/10/2022 22:19:24,"590","21.7","47","1014"
20/10/2022 22:19:26,"590","21.7","47","1014"
20/10/2022 22:21:24,"572","21.6","47","1014"
20/10/2022 22:23:24,"579","21.6","47","1014"
20/10/2022 22:25:24,"572","21.6","47","1014"
20/10/2022 22:27:24,"575","21.6","47","1014"
20/10/2022 22:29:24,"568","21.6","46","1014"
20/10/2022 22:29:26,"568","21.6","46","1014"
20/10/2022 22:31:24,"546","21.5","46","1014"
20/10/2022 22:33:24,"550","21.5","46","1014"
20/10/2022 22:35:24,"546","21.5","46","1014"
20/10/2022 22:37:24,"545","21.5","46","1014"
20/10/2022 22:39:24,"558","21.4","46","1014"
20/10/2022 22:39:26,"558","21.4","46","1014"
20/10/2022 22:41:24,"561","21.3","46","1014"
20/10/2022 22:43:24,"560","21.4","46","1014"
20/10/2022 22:45:24,"561","21.3","46","1014"
20/10/2022 22:47:24,"548","21.3","46","1014"
20/10/2022 22:49:24,"553","21.2","46","1014"
20/10/2022 22:49:26,"553","21.2","46","1014"
20/10/2022 22:51:24,"565","21.2","46","1014"
20/10/2022 22:53:24,"555","21.2","46","1014"
20/10/2022 22:55:24,"565","21.2","46","1014"
20/10/2022 22:57:24,"533","21.1","46","1014"
20/10/2022 22:59:24,"535","21.1","46","1014"
20/10/2022 22:59:25,"535","21.1","46","1014"
20/10/2022 23:01:24,"532","21.0","46","1013"
20/10/2022 23:03:24,"549","21.0","46","1014"
20/10/2022 23:05:24,"532","21.0","46","1013"
20/10/2022 23:07:24,"557","20.9","46","1013"
20/10/2022 23:09:24,"546","20.9","46","1014"
20/10/2022 23:09:25,"546","20.9","46","1014"
20/10/2022 23:11:24,"539","20.9","46","1014"
20/10/2022 23:13:24,"546","20.9","46","1014"
20/10/2022 23:15:24,"539","20.9","46","1014"
20/10/2022 23:17:24,"552","20.9","46","1014"
20/10/2022 23:19:24,"543","20.8","46","1014"
20/10/2022 23:19:25,"543","20.8","46","1014"
20/10/2022 23:21:24,"550","20.7","46","1014"
20/10/2022 23:23:24,"562","20.8","46","1014"
20/10/2022 23:25:24,"550","20.7","46","1014"
20/10/2022 23:27:24,"546","20.6","46","1014"
20/10/2022 23:29:24,"543","20.6","46","1014"
20/10/2022 23:29:25,"543","20.6","46","1014"
20/10/2022 23:31:24,"553","20.5","46","1013"
20/10/2022 23:33:24,"561","20.6","46","1013"
20/10/2022 23:35:24,"553","20.5","46","1013"
20/10/2022 23:37:24,"556","20.5","46","1013"
20/10/2022 23:39:24,"547","20.5","46","1014"
20/10/2022 23:39:25,"547","20.5","46","1014"
20/10/2022 23:41:24,"572","20.5","46","1014"
20/10/2022 23:43:24,"554","20.5","46","1014"
20/10/2022 23:45:24,"572","20.5","46","1014"
20/10/2022 23:47:24,"553","20.4","46","1014"
20/10/2022 23:49:24,"557","20.4","46","1014"
20/10/2022 23:49:25,"557","20.4","46","1014"
20/10/2022 23:51:24,"550","20.3","47","1014"
20/10/2022 23:53:24,"549","20.3","47","1014"
20/10/2022 23:55:24,"550","20.3","47","1014"
20/10/2022 23:57:24,"551","20.3","47","1014"
20/10/2022 23:59:24,"541","20.3","47","1014"
20/10/2022 23:59:25,"541","20.3","47","1014"
21/10/2022 0:01:24,"552","20.3","47","1014"
21/10/2022 0:03:24,"552","20.3","47","1014"
21/10/2022 0:05:24,"552","20.3","47","1014"
21/10/2022 0:07:24,"544","20.3","47","1014"
21/10/2022 0:09:24,"545","20.2","47","1014"
21/10/2022 0:09:25,"545","20.2","47","1014"
21/10/2022 0:11:24,"543","20.2","47","1014"
21/10/2022 0:13:24,"538","20.2","47","1014"
21/10/2022 0:15:24,"543","20.2","47","1014"
21/10/2022 0:17:24,"548","20.2","47","1014"
21/10/2022 0:19:24,"549","20.2","47","1014"
21/10/2022 0:19:26,"549","20.2","47","1014"
21/10/2022 0:21:24,"551","20.2","47","1014"
21/10/2022 0:23:24,"549","20.2","47","1014"
21/10/2022 0:25:24,"551","20.2","47","1014"
21/10/2022 0:27:24,"538","20.2","47","1014"
21/10/2022 0:29:24,"535","20.1","47","1014"
21/10/2022 0:29:25,"535","20.1","47","1014"
21/10/2022 0:31:24,"523","20.1","47","1014"
21/10/2022 0:33:24,"522","20.1","47","1014"
21/10/2022 0:35:24,"523","20.1","47","1014"
21/10/2022 0:37:24,"521","20.0","47","1014"
21/10/2022 0:39:24,"521","20.0","47","1014"
21/10/2022 0:39:25,"521","20.0","47","1014"
21/10/2022 0:41:24,"538","20.0","47","1014"
21/10/2022 0:43:24,"533","20.0","47","1014"
21/10/2022 0:45:24,"538","20.0","47","1014"
21/10/2022 0:47:24,"527","20.0","48","1014"
21/10/2022 0:49:24,"525","19.9","47","1014"
21/10/2022 0:49:25,"525","19.9","47","1014"
21/10/2022 0:51:24,"535","19.9","47","1014"
21/10/2022 0:53:24,"542","19.9","47","1014"
21/10/2022 0:55:24,"535","19.9","47","1014"
21/10/2022 0:57:24,"523","19.8","48","1014"
21/10/2022 0:59:24,"524","19.8","48","1014"
21/10/2022 0:59:25,"524","19.8","48","1014"
21/10/2022 1:01:24,"544","19.8","48","1014"
21/10/2022 1:03:24,"531","19.8","48","1014"
21/10/2022 1:05:24,"544","19.8","48","1014"
21/10/2022 1:07:24,"532","19.8","48","1014"
21/10/2022 1:09:24,"543","19.8","48","1014"
21/10/2022 1:09:25,"543","19.8","48","1014"
21/10/2022 1:11:24,"530","19.7","48","1014"
21/10/2022 1:13:24,"533","19.8","48","1014"
21/10/2022 1:15:24,"530","19.7","48","1014"
21/10/2022 1:17:24,"514","19.7","48","1014"
21/10/2022 1:19:24,"520","19.6","48","1014"
21/10/2022 1:19:25,"520","19.6","48","1014"
21/10/2022 1:21:24,"534","19.6","48","1014"
21/10/2022 1:23:24,"528","19.6","48","1014"
21/10/2022 1:25:24,"534","19.6","48","1014"
21/10/2022 1:27:24,"542","19.6","48","1014"
21/10/2022 1:29:24,"533","19.6","48","1014"
21/10/2022 1:29:25,"533","19.6","48","1014"
21/10/2022 1:31:24,"516","19.5","47","1014"
21/10/2022 1:33:24,"534","19.5","47","1014"
21/10/2022 1:35:24,"516","19.5","47","1014"
21/10/2022 1:37:24,"521","19.5","47","1014"
21/10/2022 1:39:24,"521","19.4","47","1014"
21/10/2022 1:39:25,"521","19.4","47","1014"
21/10/2022 1:41:24,"525","19.4","47","1014"
21/10/2022 1:43:24,"521","19.4","47","1014"
21/10/2022 1:45:24,"525","19.4","47","1014"
21/10/2022 1:47:24,"524","19.3","47","1014"
21/10/2022 1:49:24,"534","19.3","47","1014"
21/10/2022 1:49:25,"534","19.3","47","1014"
21/10/2022 1:51:24,"529","19.2","47","1014"
21/10/2022 1:53:24,"548","19.2","47","1014"
21/10/2022 1:55:24,"529","19.2","47","1014"
21/10/2022 1:57:24,"524","19.2","47","1014"
21/10/2022 1:59:24,"529","19.1","47","1014"
21/10/2022 1:59:26,"529","19.1","47","1014"
21/10/2022 2:01:24,"530","19.1","47","1014"
21/10/2022 2:03:24,"535","19.1","47","1014"
21/10/2022 2:05:24,"530","19.1","47","1014"
21/10/2022 2:07:24,"543","19.1","47","1014"
21/10/2022 2:09:24,"532","19.0","47","1014"
21/10/2022 2:09:26,"532","19.0","47","1014"
21/10/2022 2:11:24,"540","18.9","47","1014"
21/10/2022 2:13:24,"543","18.9","47","1014"
21/10/2022 2:15:24,"540","18.9","47","1014"
21/10/2022 2:17:24,"551","18.9","47","1014"
21/10/2022 2:19:24,"556","18.9","47","1014"
21/10/2022 2:19:26,"556","18.9","47","1014"
21/10/2022 2:21:24,"543","18.8","47","1014"
21/10/2022 2:23:24,"551","18.8","47","1014"
21/10/2022 2:25:24,"543","18.8","47","1014"
21/10/2022 2:27:24,"558","18.8","47","1014"
21/10/2022 2:29:24,"552","18.8","47","1014"
21/10/2022 2:29:26,"552","18.8","47","1014"
21/10/2022 2:31:24,"545","18.7","47","1014"
21/10/2022 2:33:24,"547","18.7","47","1014"
21/10/2022 2:35:24,"545","18.7","47","1014"
21/10/2022 2:37:24,"545","18.7","47","1014"
21/10/2022 2:39:24,"535","18.6","47","1014"
21/10/2022 2:39:26,"535","18.6","47","1014"
21/10/2022 2:41:24,"554","18.4","47","1014"
21/10/2022 2:43:24,"534","18.5","47","1014"
21/10/2022 2:45:24,"554","18.4","47","1014"
21/10/2022 2:49:26,"569","18.4","47","1014"
21/10/2022 2:54:26,"535","18.3","48","1013"
21/10/2022 2:59:26,"535","18.3","48","1013"
21/10/2022 3:04:26,"525","18.1","48","1013"
21/10/2022 3:09:26,"521","18.1","49","1013"
21/10/2022 3:14:26,"581","18.1","52","1013"
21/10/2022 3:19:26,"559","18.2","51","1013"
21/10/2022 3:24:26,"560","18.2","50","1013"
21/10/2022 3:29:25,"552","18.2","50","1013"
21/10/2022 3:34:25,"575","18.1","50","1013"
21/10/2022 3:39:25,"553","18.0","50","1013"
21/10/2022 3:44:25,"569","17.9","50","1013"
21/10/2022 3:49:25,"539","17.9","50","1012"
21/10/2022 3:54:25,"558","17.9","50","1013"
21/10/2022 3:59:25,"550","17.9","50","1012"
21/10/2022 4:04:25,"536","17.8","50","1012"
21/10/2022 4:09:25,"532","17.8","50","1012"
21/10/2022 4:14:25,"536","17.7","50","1012"
21/10/2022 4:19:25,"540","17.7","51","1012"
21/10/2022 4:24:25,"530","17.7","51","1012"
21/10/2022 4:29:25,"556","17.6","51","1012"
21/10/2022 4:34:25,"547","17.6","51","1012"
21/10/2022 4:39:25,"556","17.5","51","1012"
21/10/2022 4:44:25,"556","17.5","51","1012"
21/10/2022 4:49:25,"540","17.4","51","1012"
21/10/2022 4:54:25,"549","17.4","51","1012"
21/10/2022 4:59:25,"565","17.4","51","1012"
21/10/2022 5:04:25,"553","17.4","51","1012"
21/10/2022 5:09:25,"542","17.4","52","1012"
21/10/2022 5:14:25,"537","17.4","52","1012"
21/10/2022 5:19:25,"545","17.3","52","1012"
21/10/2022 5:24:25,"539","17.3","52","1013"
21/10/2022 5:29:25,"530","17.3","52","1012"
21/10/2022 5:34:25,"529","17.2","52","1012"
21/10/2022 5:39:25,"540","17.2","52","1012"
21/10/2022 5:44:25,"542","17.2","52","1012"
21/10/2022 5:49:25,"552","17.1","52","1012"
21/10/2022 5:54:25,"536","17.1","52","1012"
21/10/2022 5:59:25,"544","17.1","52","1012"
21/10/2022 6:04:25,"545","17.0","53","1012"
21/10/2022 6:09:25,"540","17.0","53","1012"
21/10/2022 6:14:25,"545","16.9","53","1012"
21/10/2022 6:19:25,"540","16.9","53","1012"
21/10/2022 6:24:25,"545","16.9","53","1013"
21/10/2022 6:29:25,"553","16.9","53","1012"
21/10/2022 6:34:25,"542","16.9","53","1012"
21/10/2022 6:39:25,"554","16.8","53","1012"
21/10/2022 6:44:25,"554","16.8","53","1012"
21/10/2022 6:49:25,"532","16.8","53","1012"
21/10/2022 6:54:25,"551","16.7","53","1012"
21/10/2022 6:59:25,"545","16.7","53","1012"
21/10/2022 7:04:25,"545","16.7","53","1012"
21/10/2022 7:09:25,"554","16.7","53","1012"
21/10/2022 7:14:25,"541","16.7","54","1012"
21/10/2022 7:19:25,"540","16.7","54","1012"
21/10/2022 7:24:25,"547","16.6","54","1012"
21/10/2022 7:29:25,"539","16.6","54","1012"
21/10/2022 7:34:25,"552","16.6","54","1012"
21/10/2022 7:39:25,"554","16.6","54","1012"
21/10/2022 7:44:25,"549","16.6","54","1012"
21/10/2022 7:49:25,"558","16.6","54","1012"
21/10/2022 7:54:25,"547","16.6","54","1012"
21/10/2022 7:59:25,"554","16.6","54","1012"
21/10/2022 8:04:25,"567","16.6","54","1012"
21/10/2022 8:09:25,"554","16.5","54","1012"
21/10/2022 8:14:25,"552","16.4","55","1012"
21/10/2022 8:19:25,"568","16.4","55","1011"
21/10/2022 8:24:25,"554","16.4","55","1012"
21/10/2022 8:29:25,"551","16.4","55","1011"
21/10/2022 8:34:25,"540","16.4","55","1012"
21/10/2022 8:39:25,"546","16.4","55","1011"
21/10/2022 8:44:25,"538","16.4","55","1012"
21/10/2022 8:49:25,"533","16.4","55","1012"
21/10/2022 8:54:25,"534","16.4","55","1012"
21/10/2022 8:59:25,"530","16.4","55","1012"
21/10/2022 9:04:25,"533","16.3","55","1012"
21/10/2022 9:09:25,"538","16.4","55","1012"
21/10/2022 9:14:25,"527","16.3","55","1011"
21/10/2022 9:19:25,"523","16.3","56","1011"
21/10/2022 9:24:25,"524","16.3","56","1011"
21/10/2022 9:29:25,"511","16.3","56","1011"
21/10/2022 9:34:25,"510","16.3","56","1011"
21/10/2022 9:39:25,"496","16.3","56","1011"
21/10/2022 9:44:25,"499","16.3","56","1011"
21/10/2022 9:49:25,"516","16.3","56","1011"
21/10/2022 9:54:25,"519","16.3","56","1011"
21/10/2022 9:59:25,"534","16.3","56","1011"
21/10/2022 10:04:25,"532","16.2","56","1011"
21/10/2022 10:09:25,"536","16.2","56","1011"
21/10/2022 10:14:25,"548","16.2","56","1011"
21/10/2022 10:19:25,"542","16.2","56","1011"
21/10/2022 10:24:25,"552","16.2","56","1011"
21/10/2022 10:29:25,"544","16.3","56","1010"
21/10/2022 10:34:25,"550","16.2","56","1011"
21/10/2022 10:39:25,"541","16.2","56","1010"
21/10/2022 10:44:25,"536","16.2","56","1011"
21/10/2022 10:49:25,"550","16.2","56","1010"
21/10/2022 10:54:25,"560","16.2","56","1011"
21/10/2022 10:59:25,"536","16.2","56","1011"
21/10/2022 11:04:25,"546","16.2","56","1010"
21/10/2022 11:09:25,"559","16.2","56","1010"
21/10/2022 11:14:25,"530","16.2","56","1010"
21/10/2022 11:19:25,"538","16.1","56","1010"
21/10/2022 11:24:25,"542","16.2","56","1010"
21/10/2022 11:29:25,"556","16.2","56","1010"
21/10/2022 11:34:25,"548","16.2","56","1010"
21/10/2022 11:39:25,"555","16.4","56","1010"
21/10/2022 11:44:25,"547","16.6","56","1010"
21/10/2022 11:49:25,"555","16.7","56","1010"
21/10/2022 11:54:26,"527","16.9","56","1010"
21/10/2022 11:59:26,"532","17.0","56","1009"
21/10/2022 12:04:26,"525","17.1","55","1009"
21/10/2022 12:09:26,"534","17.0","55","1009"
21/10/2022 12:14:26,"549","16.9","55","1009"
21/10/2022 12:19:26,"536","16.9","55","1009"
21/10/2022 12:24:26,"536","16.9","55","1009"
21/10/2022 12:29:26,"524","16.8","55","1009"
21/10/2022 12:34:26,"539","16.8","55","1009"
21/10/2022 12:39:26,"527","16.8","55","1009"
21/10/2022 12:44:26,"526","16.7","55","1009"
21/10/2022 12:49:26,"528","16.7","55","1009"
21/10/2022 12:54:26,"536","16.7","55","1009"
21/10/2022 12:59:26,"528","16.7","55","1009"
21/10/2022 13:04:26,"533","16.9","55","1008"
21/10/2022 13:09:26,"526","17.0","55","1008"
21/10/2022 13:14:26,"544","17.2","55","1008"
21/10/2022 13:19:26,"519","17.3","54","1008"
21/10/2022 13:24:25,"532","17.3","54","1008"
21/10/2022 13:29:25,"528","17.3","54","1008"
21/10/2022 13:34:25,"530","17.2","55","1008"
21/10/2022 13:39:25,"530","17.2","55","1008"
21/10/2022 13:44:25,"541","17.2","55","1008"
21/10/2022 13:49:25,"535","17.1","55","1008"
21/10/2022 13:54:25,"529","17.1","55","1008"
21/10/2022 13:59:25,"524","17.1","55","1008"
21/10/2022 14:04:25,"511","16.9","55","1007"
21/10/2022 14:09:25,"508","16.9","55","1007"
21/10/2022 14:14:25,"512","16.9","55","1007"
21/10/2022 14:19:25,"533","17.1","55","1007"
21/10/2022 14:24:25,"528","17.2","55","1007"
21/10/2022 14:29:25,"524","17.4","55","1007"
21/10/2022 14:34:25,"537","17.4","54","1007"
21/10/2022 14:39:25,"522","17.6","54","1007"
21/10/2022 14:44:25,"536","17.7","54","1007"
21/10/2022 14:49:25,"542","17.8","54","1007"
21/10/2022 14:54:25,"533","17.9","54","1007"
21/10/2022 14:59:26,"540","17.9","54","1007"
21/10/2022 15:04:26,"530","18.1","54","1007"
21/10/2022 15:09:26,"541","18.1","54","1007"
21/10/2022 15:14:26,"542","18.2","54","1007"
21/10/2022 15:19:26,"547","18.3","54","1006"
21/10/2022 15:24:26,"548","18.3","54","1006"
21/10/2022 15:29:26,"553","18.4","54","1006"
21/10/2022 15:34:26,"563","18.4","54","1006"
21/10/2022 15:39:26,"565","18.4","54","1006"
21/10/2022 15:44:26,"576","18.6","54","1006"
21/10/2022 15:49:26,"600","18.7","54","1006"
21/10/2022 15:54:26,"606","18.7","54","1006"
21/10/2022 15:59:26,"582","18.8","54","1006"
21/10/2022 16:04:26,"615","18.9","54","1006"
21/10/2022 16:09:26,"604","18.9","53","1006"
21/10/2022 16:14:26,"533","18.6","53","1006"
21/10/2022 16:19:26,"527","18.4","54","1006"
21/10/2022 16:24:26,"546","18.4","54","1006"
21/10/2022 16:29:26,"564","18.4","54","1006"
21/10/2022 16:34:26,"567","18.4","54","1006"
21/10/2022 16:39:26,"574","18.5","54","1006"
21/10/2022 16:44:26,"592","18.6","54","1006"
21/10/2022 16:49:26,"562","18.6","54","1006"
21/10/2022 16:54:26,"576","18.7","54","1006"
21/10/2022 16:59:26,"566","18.7","54","1006"
21/10/2022 17:04:26,"582","18.8","54","1006"
21/10/2022 17:09:26,"584","18.8","53","1006"
21/10/2022 17:14:26,"572","18.8","53","1006"
21/10/2022 17:19:26,"568","18.6","54","1006"
21/10/2022 17:24:25,"566","18.5","54","1006"
21/10/2022 17:29:25,"567","18.4","54","1006"
21/10/2022 17:34:25,"578","18.7","54","1006"
21/10/2022 17:39:25,"579","18.6","54","1006"
21/10/2022 17:44:25,"584","18.5","54","1005"
21/10/2022 17:49:25,"601","18.7","54","1005"
21/10/2022 17:54:25,"624","18.7","54","1005"
21/10/2022 17:59:25,"602","18.6","54","1005"
21/10/2022 18:04:25,"637","18.5","54","1005"
21/10/2022 18:09:25,"624","18.4","54","1005"
21/10/2022 18:14:25,"609","18.4","54","1005"
21/10/2022 18:19:25,"634","18.4","54","1005"
21/10/2022 18:24:25,"613","18.3","54","1005"
21/10/2022 18:29:25,"605","18.4","54","1005"
21/10/2022 18:34:25,"573","18.4","54","1005"
21/10/2022 18:39:25,"571","18.4","54","1005"
21/10/2022 18:44:25,"568","18.4","54","1005"
21/10/2022 18:49:25,"613","18.4","54","1005"
21/10/2022 18:54:25,"598","18.4","54","1005"
21/10/2022 18:59:26,"598","18.4","54","1005"
21/10/2022 19:04:26,"630","18.3","54","1005"
21/10/2022 19:09:25,"608","18.3","54","1005"
21/10/2022 19:14:25,"620","18.3","54","1005"
21/10/2022 19:19:25,"613","18.3","54","1005"
21/10/2022 19:24:25,"616","18.4","54","1005"
21/10/2022 19:29:25,"600","18.4","54","1005"
21/10/2022 19:34:25,"613","18.5","54","1005"
21/10/2022 19:39:25,"597","18.4","54","1004"
21/10/2022 19:44:25,"616","18.4","54","1004"
21/10/2022 19:49:25,"610","18.4","54","1004"
21/10/2022 19:54:25,"606","18.4","54","1004"
21/10/2022 19:59:25,"595","18.4","54","1004"
21/10/2022 20:04:25,"617","18.4","54","1004"
21/10/2022 20:09:25,"644","18.4","54","1004"
21/10/2022 20:14:25,"625","18.4","54","1004"
21/10/2022 20:19:25,"625","18.5","54","1004"
21/10/2022 20:24:25,"623","18.6","54","1004"
21/10/2022 20:29:25,"624","18.6","54","1004"
21/10/2022 20:34:25,"613","18.6","54","1004"
21/10/2022 20:39:25,"631","18.6","53","1004"
21/10/2022 20:44:25,"617","18.6","53","1004"
21/10/2022 20:49:25,"618","18.5","53","1004"
21/10/2022 20:54:25,"626","18.4","53","1004"
21/10/2022 20:59:25,"617","18.4","53","1004"
21/10/2022 21:04:25,"611","18.4","53","1004"
21/10/2022 21:09:25,"632","18.5","53","1004"
21/10/2022 21:14:25,"632","18.6","53","1004"
21/10/2022 21:19:25,"621","18.5","53","1004"
21/10/2022 21:24:25,"620","18.4","52","1004"
21/10/2022 21:29:25,"624","18.4","52","1004"
21/10/2022 21:34:25,"617","18.4","52","1004"
21/10/2022 21:39:25,"634","18.4","52","1004"
21/10/2022 21:44:25,"624","18.4","52","1004"
21/10/2022 21:49:25,"622","18.4","52","1004"
21/10/2022 21:54:25,"626","18.5","52","1004"
21/10/2022 21:59:25,"622","18.5","52","1004"
21/10/2022 22:04:25,"629","18.5","52","1004"
21/10/2022 22:09:25,"621","18.5","52","1004"
21/10/2022 22:14:25,"635","18.4","52","1004"
21/10/2022 22:19:25,"622","18.4","52","1004"
21/10/2022 22:24:25,"617","18.4","52","1004"
21/10/2022 22:29:25,"642","18.4","52","1004"
21/10/2022 22:34:25,"633","18.4","52","1004"
21/10/2022 22:39:25,"634","18.5","52","1004"
21/10/2022 22:44:25,"620","18.6","52","1004"
21/10/2022 22:49:25,"639","18.6","52","1004"
21/10/2022 22:54:25,"641","18.6","52","1004"
21/10/2022 22:59:25,"625","18.6","52","1004"
21/10/2022 23:04:25,"645","18.6","51","1004"
21/10/2022 23:09:25,"630","18.5","51","1004"
21/10/2022 23:14:25,"624","18.5","51","1004"
21/10/2022 23:19:25,"637","18.4","51","1004"
21/10/2022 23:24:25,"636","18.4","51","1004"
21/10/2022 23:29:25,"644","18.4","51","1004"
21/10/2022 23:34:25,"635","18.5","51","1004"
21/10/2022 23:39:25,"629","18.6","51","1004"
21/10/2022 23:44:25,"621","18.6","51","1004"
21/10/2022 23:49:25,"641","18.6","51","1004"
21/10/2022 23:54:25,"623","18.6","51","1004"
21/10/2022 23:59:25,"624","18.5","51","1004"
22/10/2022 0:04:25,"618","18.4","51","1004"
22/10/2022 0:09:25,"614","18.4","51","1004"
22/10/2022 0:14:25,"603","18.4","51","1004"
22/10/2022 0:19:25,"626","18.4","51","1004"
22/10/2022 0:24:25,"645","18.4","51","1004"
22/10/2022 0:29:25,"622","18.5","51","1004"
22/10/2022 0:34:25,"633","18.6","51","1004"
22/10/2022 0:39:25,"626","18.4","51","1004"
22/10/2022 0:44:25,"635","18.4","51","1004"
22/10/2022 0:49:25,"634","18.4","51","1004"
22/10/2022 0:54:25,"609","18.4","51","1004"
22/10/2022 0:59:25,"639","18.4","51","1004"
22/10/2022 1:04:25,"619","18.4","51","1004"